user_name,count(*)
ryo_grid,1597
hassotoilet,1437
medusathief,220
yoshimov,185
p_g_,138
ku__ra__ge,138
todesking,123
yuiseki,109
yheld,94
hirameki,86
ono_matope,80
mobcov,79
cocoa_ruto,76
tekiomo,68
yuichilow,68
youpy,64
33,62
upturner,61
fuba,60
hitode909,57
_tad_,56
yuichis1979,55
THX1137,54
utage_idea,53
korokuro,52
nemo_kaz,51
satoship,49
dritoshi,48
otsune,46
hem,46
hsksyusk,45
kmg,45
koyachi,42
mootoh,42
fairykin,37
youchan,35
bulkneets,35
satosnj,35
Telmina,33
luminousspice,33
mustard6,33
ApplePedlar,32
nkoz,30
culashi,29
ujihisa,28
ssig33,28
radionaire,28
ikomaru,27
sol_fa,27
akki91,26
rawegg,24
inuro,23
bopperjp,23
mah_jp,22
44144Hz,22
kamiinu,22
NStyles,21
cress_cc,21
koh_0416,21
masa_edw,20
lomo,20
nao550,20
meiolania,20
lurker_,19
nean,19
tsupo,19
nishio,19
ffi,19
kuwavkdb,18
kei_koyama,18
worris,17
EDAPIYO,17
machicolony,17
3daU,17
shinohara_chi,17
VoQn,16
sezu,16
tekuya,16
tetsutoru,16
Powerweb,15
hirameki_bot,15
Douga_movie,15
SUNDOWN_KID,15
asane,14
darashi,14
Uchimata,14
smokeymonkey,14
fk_2000,14
junkawa,14
wakataka_423,14
deflis,14
ogatty,14
lbuki,14
akanerob,14
clark0226,14
sora_h,13
shinsuke_,13
saigoofy,13
hagi_hara,13
bluowl,13
ANNotunzdY,13
t478,13
chihaya_kanzaki,13
send_,12
mizumo,12
kotoriko,12
Alembert,12
TandP00,12
4mota,12
vuking,12
fukaz55,11
asahina,11
komatsuna,11
aerith,11
pha,11
os0x,11
totte,11
KKI_,11
skashu,11
t_ishida,11
moriwaka,11
yteppei,11
flashingwind,11
honke_sivuch,11
maizeziam,11
hayamizu,10
monado,10
kagawa,10
kkshow,10
wyinoue,10
hetmek,10
asma,10
orzccc,10
gaziro2000,10
etupirka,10
LongtailBear,10
sabotem,10
naga_haru,10
cogjp,10
numberxnxine,10
reto_nayuta,10
shimezi,9
tyoro,9
ryochin,9
acchi,9
ironsjp,9
T_Hash,9
bar07,9
KEENBAYONET,9
bosu_kete,9
Theoria,8
ka_o_ri,8
VIDEO_,8
yaraicho,8
jun20,8
debedebe,8
nz2,8
cm3,8
alvis,8
easygoing1973,8
oginonigo,8
denneko,8
tomy125,8
rinunu,8
asuyamawa,8
ot_inc,7
oquno,7
karia,7
tatsu,7
_Misa_,7
yukogets,7
jazzanova,7
hayashih,7
yachimon,7
maybowjing,7
fujimaki,7
ellequi_,7
ruuuu,7
yusuke0927,7
attrip,7
zkangaroo,7
shihu,7
nise_teppei,7
x_117,7
hiyosio,7
ymnxx,7
pinpain,7
h_uchida,7
emisk_,7
skycat109,7
sh_kur,7
makufu,7
marvelous,6
ululun,6
emasaka,6
kunimiya,6
yukinobu,6
morygonzalez,6
taiko19xx,6
yugui,6
yto,6
snj14,6
nupe,6
retlet,6
Runagate,6
takimo,6
matsuza,6
ymon,6
suu_g,6
yuiseki_bot,6
ura_Q,6
RandolphCarter,6
mmilky,6
trash_box,6
onochin,6
bright_blog,6
koma01102003,6
asokonohito,6
locobus7,6
shinjo,6
shinimai,6
ya_morioka,6
m_um_u,5
kazuho,5
new_ja,5
log07,5
MondoBiz,5
100_200,5
snsn9pan,5
eto,5
tomozo,5
znz,5
Takenspc,5
yhara,5
yoppy,5
yuyarin,5
ClockWorkStudio,5
motsura,5
manpei,5
osapon,5
sasamistreet,5
hitokara,5
Bang_boo,5
beatbeat,5
sempeiniwaka,5
minnagi,5
benishouga,5
biones,5
smart_boy,5
Rindows7,5
468251793,5
sner3jp,5
qouroquis,5
jamadam,5
march36rabbit,5
tetsu_rf,5
SNkirinn,5
anyamon,5
twitbotjp,5
rikusu,5
Shimy_0,5
twikkoooo,5
gotoudamasa,5
elenoibot,5
sleepwalk,4
hmori,4
syou6162,4
yoosee,4
tomokun,4
teraminato,4
nektixe,4
aji,4
nyomos,4
japo,4
giginet,4
mazucon,4
tacke,4
a_dach,4
srzw,4
MikanShena,4
KIMAGURE,4
mattn_jp,4
anemo,4
asawabe,4
snt,4
artifactsauce,4
thinkeroid,4
ina_ani,4
AmaiSaeta,4
jinon,4
lazy_eval,4
somonar,4
3_twetter,4
pastak,4
atsushifx,4
mogya,4
random_oracle,4
fuba_recorder,4
twtusr,4
halaw,4
k_strato,4
tyru,4
fujirockRSS,4
VER102,4
nanigasi,4
decuno,4
shyamamo,4
k44know,4
yukiotto,4
goke34,4
kimrot,4
moon5,4
imarachiobitch,4
namito_is_mad,4
pippukun,4
hanabiya,4
TakuIwahashi,4
fall_apple,4
hi_yo_ko,4
tobetobetombe,4
soundwalker1971,4
Torise_Kai,4
amachang,3
dotk3,3
aies,3
Sinner78,3
